Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Frequently,1360,Sales,26,3,Marketing,1,11,3,Male,53,2,1,Research Director,4,Married,11774,16153,8,Y,No,15,3,1,80,2,12,0,4,2,5,11,2
53,Yes,Non-Travel,857,Research & Development,6,3,Technical Degree,1,12,4,Male,76,1,1,Manufacturing Director,3,Married,1553,26144,6,Y,Yes,17,3,1,80,3,33,3,3,15,12,7,5
57,No,Non-Travel,837,Research & Development,21,4,Medical,1,13,1,Male,82,3,1,Manager,2,Married,14860,25581,4,Y,Yes,14,3,4,80,1,3,1,1,1,6,8,5
41,No,Travel_Rarely,819,Human Resources,2,2,Medical,1,14,3,Male,68,2,1,Manager,4,Divorced,8045,23485,5,Y,No,22,4,3,80,1,34,1,4,22,7,7,16
20,No,Non-Travel,505,Research & Development,26,3,Life Sciences,1,15,3,Female,96,4,2,Healthcare Representative,1,Married,10380,5526,3,Y,No,23,3,4,80,3,18,6,1,33,11,0,12
39,No,Travel_Rarely,707,Research & Development,26,2,Human Resources,1,16,1,Female,95,1,2,Sales Executive,4,Single,1149,22233,6,Y,Yes,12,3,4,80,1,30,5,1,29,1,0,12
19,No,Travel_Frequently,1120,Sales,18,2,Other,1,17,1,Male,35,4,1,Sales Representative,3,Single,17373,3634,0,Y,Yes,20,3,2,80,2,24,0,3,9,8,5,6
41,No,Non-Travel,521,Sales,23,3,Other,1,18,2,Male,50,4,4,Research Director,3,Married,14343,13201,3,Y,No,13,4,2,80,2,39,6,3,0,12,11,8
47,Yes,Travel_Rarely,811,Research & Development,2,1,Life Sciences,1,19,4,Male,65,2,5,Sales Executive,3,Divorced,3853,2093,2,Y,Yes,19,4,1,80,0,11,3,2,21,16,0,0
55,No,Travel_Rarely,346,Sales,12,2,Technical Degree,1,20,4,Female,32,1,3,Sales Representative,3,Divorced,11128,21750,3,Y,No,20,3,4,80,2,11,0,1,32,12,7,12
19,No,Travel_Frequently,171,Research & Development,22,3,Marketing,1,21,1,Female,71,3,5,Manufacturing Director,3,Married,13580,9716,0,Y,Yes,18,3,4,80,1,24,1,4,24,15,14,7
38,No,Non-Travel,284,Sales,5,2,Marketing,1,22,4,Male,74,3,3,Manager,3,Divorced,16254,16331,1,Y,No,23,3,3,80,0,32,2,1,21,0,12,8
50,Yes,Travel_Frequently,105,Sales,20,4,Human Resources,1,23,3,Male,73,2,3,Human Resources,1,Divorced,3736,21330,8,Y,Yes,19,4,4,80,3,36,0,4,15,6,13,0
29,No,Travel_Rarely,1329,Sales,7,1,Life Sciences,1,24,1,Male,62,3,1,Healthcare Representative,3,Divorced,1956,18472,6,Y,No,15,3,2,80,3,27,0,2,29,12,5,8
39,No,Travel_Rarely,1005,Sales,24,1,Life Sciences,1,25,1,Male,89,3,3,Research Director,1,Married,12440,16241,5,Y,Yes,23,3,4,80,0,8,2,1,17,13,4,10
42,No,Non-Travel,486,Research & Development,16,4,Technical Degree,1,26,1,Male,99,4,1,Healthcare Representative,4,Single,6180,20934,1,Y,Yes,15,4,2,80,2,13,3,4,23,16,12,3
44,No,Travel_Rarely,798,Human Resources,20,4,Marketing,1,27,2,Female,55,4,2,Research Scientist,2,Single,9607,13006,0,Y,No,17,4,1,80,0,2,3,4,4,15,5,15
59,Yes,Non-Travel,1199,Sales,1,2,Life Sciences,1,28,4,Male,50,1,4,Manufacturing Director,1,Single,12646,24521,1,Y,No,17,4,2,80,0,4,0,2,36,14,3,13
45,No,Travel_Frequently,1300,Research & Development,1,4,Other,1,29,2,Female,31,4,3,Research Scientist,4,Single,15342,8357,6,Y,Yes,11,3,1,80,2,25,6,3,22,16,0,8
33,No,Non-Travel,926,Research & Development,17,1,Human Resources,1,30,3,Male,76,3,4,Sales Representative,2,Single,6013,3445,1,Y,Yes,22,3,3,80,3,17,2,2,26,1,6,0
32,Yes,Non-Travel,448,Sales,27,4,Marketing,1,31,4,Male,59,1,1,Sales Representative,1,Divorced,1084,23005,2,Y,No,24,3,1,80,0,37,5,4,11,11,9,2
20,No,Travel_Rarely,1378,Human Resources,1,3,Technical Degree,1,32,2,Female,56,1,3,Laboratory Technician,1,Divorced,2935,8335,7,Y,Yes,15,4,4,80,3,20,0,2,9,2,8,0
54,Yes,Travel_Rarely,407,Sales,21,3,Human Resources,1,33,1,Male,49,2,5,Sales Representative,4,Divorced,10608,20214,6,Y,Yes,18,3,2,80,1,38,2,3,33,8,3,2
24,No,Non-Travel,1468,Research & Development,20,2,Medical,1,34,2,Female,79,4,2,Sales Executive,3,Married,10262,25169,8,Y,Yes,17,3,1,80,2,15,1,1,32,5,12,13
38,Yes,Travel_Rarely,1250,Human Resources,13,1,Other,1,35,1,Female,52,1,2,Sales Executive,1,Divorced,12604,25775,3,Y,Yes,21,4,1,80,1,39,5,2,15,5,3,13
26,No,Travel_Rarely,386,Research & Development,9,3,Technical Degree,1,36,2,Male,42,3,3,Human Resources,1,Single,10713,18938,6,Y,Yes,12,4,1,80,3,22,2,2,28,6,8,12
56,Yes,Travel_Rarely,865,Sales,15,4,Human Resources,1,37,2,Male,33,1,2,Manager,4,Divorced,18885,13956,0,Y,No,24,3,1,80,1,28,6,1,17,7,14,0
35,No,Non-Travel,824,Human Resources,3,3,Life Sciences,1,38,2,Female,43,1,5,Healthcare Representative,3,Single,3473,20818,1,Y,Yes,18,4,1,80,1,9,0,2,26,2,3,14
21,No,Travel_Rarely,861,Research & Development,14,3,Medical,1,39,1,Female,49,2,4,Manager,2,Divorced,1735,8919,6,Y,Yes,12,3,1,80,1,4,4,3,6,14,9,6
42,No,Non-Travel,482,Research & Development,23,2,Technical Degree,1,40,2,Male,42,3,5,Manager,3,Single,3838,7593,1,Y,No,20,3,2,80,0,10,3,4,35,5,3,15
31,No,Travel_Rarely,487,Research & Development,11,4,Life Sciences,1,41,4,Female,32,3,2,Sales Executive,3,Divorced,3562,18586,5,Y,No,11,3,4,80,0,28,0,2,26,10,7,0
26,No,Travel_Frequently,624,Sales,24,4,Other,1,42,4,Male,76,4,4,Healthcare Representative,4,Single,14440,9153,9,Y,No,21,4,4,80,2,26,2,1,9,2,10,14
43,No,Travel_Rarely,738,Human Resources,22,4,Medical,1,43,4,Female,32,3,5,Human Resources,3,Single,4906,6542,8,Y,No,21,3,1,80,3,33,5,1,9,15,3,14
19,No,Travel_Rarely,1037,Sales,12,2,Marketing,1,44,1,Male,30,1,1,Manufacturing Director,4,Married,2272,18192,4,Y,No,24,4,2,80,3,13,5,2,10,5,8,5
37,No,Non-Travel,375,Sales,13,4,Life Sciences,1,45,1,Female,53,3,1,Laboratory Technician,2,Divorced,5836,15403,9,Y,Yes,21,4,1,80,2,9,2,1,29,10,10,5
45,No,Non-Travel,599,Sales,26,4,Human Resources,1,46,4,Female,64,3,4,Sales Executive,1,Single,2862,15065,6,Y,Yes,13,4,3,80,3,10,3,4,2,7,7,0
24,No,Travel_Rarely,816,Human Resources,13,3,Technical Degree,1,47,4,Male,43,1,4,Research Scientist,1,Divorced,5226,26394,0,Y,Yes,13,4,4,80,3,10,0,4,28,9,4,15
25,No,Travel_Frequently,436,Sales,1,3,Medical,1,48,4,Female,96,2,4,Laboratory Technician,4,Single,13610,11878,7,Y,No,16,3,1,80,1,34,5,1,13,9,8,12
52,No,Travel_Rarely,1031,Sales,24,4,Life Sciences,1,49,3,Female,42,4,1,Manufacturing Director,4,Married,10014,2828,8,Y,No,22,4,2,80,1,18,5,2,12,2,7,11
31,No,Travel_Rarely,580,Sales,10,1,Marketing,1,50,4,Female,76,4,5,Sales Representative,3,Married,17926,9170,4,Y,No,13,3,4,80,3,23,4,2,18,13,13,9
34,Yes,Travel_Frequently,1010,Sales,3,1,Technical Degree,1,51,2,Female,79,2,4,Manager,3,Married,7209,20406,5,Y,Yes,17,3,2,80,2,0,1,1,24,8,9,13
53,Yes,Non-Travel,1396,Research & Development,24,4,Technical Degree,1,52,3,Female,55,1,1,Research Director,1,Married,11270,26678,7,Y,Yes,18,3,3,80,2,11,4,4,9,12,3,10
57,No,Travel_Rarely,1181,Sales,28,1,Life Sciences,1,53,3,Female,32,4,4,Human Resources,1,Single,18268,11749,3,Y,Yes,13,3,1,80,3,13,1,4,14,8,3,11
21,No,Non-Travel,1451,Research & Development,4,2,Marketing,1,54,1,Female,80,2,4,Manager,1,Divorced,4649,22595,1,Y,Yes,19,4,3,80,2,2,5,2,27,11,0,16
19,No,Non-Travel,208,Sales,16,3,Other,1,55,2,Male,69,2,4,Sales Representative,4,Married,15126,23338,9,Y,Yes,11,4,4,80,2,31,1,4,39,13,3,2
23,No,Travel_Frequently,1402,Human Resources,8,2,Other,1,56,1,Female,97,2,1,Manufacturing Director,2,Married,17073,22471,7,Y,Yes,13,3,1,80,1,15,0,3,37,4,11,0
59,No,Travel_Frequently,427,Research & Development,16,3,Medical,1,57,1,Female,65,4,5,Research Scientist,2,Married,4666,26679,1,Y,No,22,3,4,80,2,37,5,4,6,5,12,0
21,No,Non-Travel,414,Research & Development,27,1,Life Sciences,1,58,2,Male,80,4,1,Human Resources,4,Divorced,14357,15216,4,Y,Yes,13,3,1,80,0,9,5,2,13,12,7,5
46,No,Travel_Rarely,1234,Research & Development,17,1,Medical,1,59,1,Female,30,4,1,Human Resources,3,Single,16448,13049,5,Y,Yes,17,4,2,80,1,16,1,4,29,12,11,3
35,Yes,Non-Travel,798,Research & Development,19,4,Other,1,60,2,Female,62,4,4,Manufacturing Director,2,Single,10913,8785,4,Y,Yes,21,4,4,80,0,39,2,4,39,5,11,12
43,No,Travel_Rarely,880,Human Resources,22,1,Technical Degree,1,61,2,Male,36,3,3,Laboratory Technician,3,Single,9566,10998,5,Y,Yes,21,3,3,80,3,3,1,1,11,13,4,11
51,No,Travel_Rarely,1352,Sales,15,1,Medical,1,62,1,Female,81,2,3,Manager,1,Single,16605,25550,5,Y,Yes,15,3,3,80,2,14,1,3,27,10,5,7
27,No,Travel_Frequently,255,Research & Development,16,4,Marketing,1,63,4,Female,40,3,3,Laboratory Technician,1,Divorced,1557,6655,2,Y,No,14,3,2,80,0,32,3,1,13,12,3,6
53,No,Travel_Rarely,1395,Human Resources,15,4,Human Resources,1,64,1,Male,56,2,1,Sales Executive,3,Divorced,10472,20458,2,Y,Yes,12,4,2,80,2,38,3,4,0,11,13,6
31,Yes,Travel_Rarely,986,Research & Development,25,3,Other,1,65,3,Male,43,4,4,Manufacturing Director,1,Divorced,12615,8918,8,Y,Yes,17,3,3,80,0,9,0,4,3,15,4,6
48,Yes,Non-Travel,1125,Sales,2,1,Other,1,66,1,Female,75,4,3,Sales Executive,4,Married,7040,5436,2,Y,No,13,4,2,80,1,6,0,1,17,5,9,13
32,No,Travel_Frequently,857,Research & Development,11,3,Marketing,1,67,2,Female,39,3,2,Research Scientist,3,Divorced,14884,23432,2,Y,No,17,4,1,80,3,32,2,3,35,8,7,5
25,No,Travel_Rarely,821,Human Resources,1,3,Medical,1,68,3,Male,53,1,2,Laboratory Technician,3,Single,2128,26873,1,Y,Yes,20,4,3,80,0,16,3,2,31,16,11,15
31,Yes,Travel_Rarely,1012,Sales,15,2,Life Sciences,1,69,2,Female,90,4,2,Research Director,3,Divorced,18744,6872,6,Y,Yes,22,3,4,80,1,11,4,1,27,15,8,2
40,No,Travel_Frequently,1409,Human Resources,26,1,Technical Degree,1,70,4,Male,47,1,5,Manufacturing Director,2,Married,10292,2360,9,Y,Yes,17,4,3,80,3,16,0,4,27,11,2,1
57,No,Non-Travel,970,Sales,19,1,Human Resources,1,71,4,Male,38,2,4,Manufacturing Director,3,Single,6349,13909,9,Y,Yes,21,4,2,80,0,15,0,4,37,17,9,14
38,No,Travel_Frequently,112,Sales,4,2,Life Sciences,1,72,3,Male,46,3,1,Human Resources,3,Divorced,13319,6599,3,Y,Yes,12,3,1,80,0,13,3,2,31,8,3,10
33,No,Travel_Frequently,707,Sales,11,3,Life Sciences,1,73,4,Female,87,1,1,Sales Representative,3,Single,10823,12168,0,Y,No,17,3,4,80,1,2,3,4,7,2,0,10
35,No,Travel_Rarely,597,Research & Development,5,1,Marketing,1,74,4,Male,42,1,4,Research Scientist,2,Single,1057,8731,5,Y,No,16,3,3,80,3,29,2,4,24,9,10,2
41,No,Travel_Rarely,337,Human Resources,3,3,Medical,1,75,1,Male,79,4,5,Laboratory Technician,1,Divorced,9503,4077,4,Y,Yes,20,4,3,80,3,34,3,2,19,10,4,3
43,No,Non-Travel,1217,Human Resources,13,2,Other,1,76,1,Male,35,1,4,Manufacturing Director,2,Divorced,11193,15750,1,Y,Yes,14,4,4,80,1,25,6,4,32,1,3,5
42,Yes,Travel_Rarely,1461,Human Resources,10,4,Other,1,77,4,Female,80,1,5,Manufacturing Director,4,Married,6493,20557,5,Y,No,21,3,1,80,2,11,1,4,29,7,14,11
58,No,Travel_Rarely,880,Sales,11,3,Marketing,1,78,4,Female,65,2,3,Research Director,3,Divorced,4877,6691,0,Y,No,15,4,2,80,1,30,5,3,36,10,5,3
46,No,Travel_Frequently,1294,Research & Development,18,1,Medical,1,79,1,Female,54,3,3,Manager,4,Divorced,3282,19773,2,Y,Yes,22,3,2,80,3,16,4,1,15,17,5,11
32,Yes,Travel_Rarely,705,Sales,2,4,Marketing,1,80,4,Male,40,4,5,Laboratory Technician,2,Divorced,12375,26346,3,Y,Yes,18,3,2,80,1,36,5,3,24,6,12,3
18,No,Non-Travel,760,Human Resources,7,3,Other,1,81,4,Female,73,4,4,Human Resources,1,Single,2431,24355,2,Y,Yes,15,4,2,80,2,7,1,3,37,13,9,1
42,No,Travel_Frequently,948,Research & Development,9,3,Life Sciences,1,82,2,Female,43,1,3,Research Director,1,Married,13526,5514,5,Y,Yes,13,4,4,80,1,18,6,4,9,6,5,11
24,No,Non-Travel,1035,Research & Development,10,4,Technical Degree,1,83,4,Male,58,2,4,Human Resources,3,Single,2775,26838,3,Y,Yes,12,4,1,80,1,25,6,1,4,0,2,12
26,No,Travel_Frequently,727,Research & Development,18,4,Medical,1,84,3,Male,79,1,3,Healthcare Representative,1,Divorced,12351,4919,0,Y,Yes,16,4,1,80,0,3,1,1,7,11,13,15
41,No,Travel_Rarely,242,Human Resources,23,4,Human Resources,1,85,2,Female,34,1,4,Laboratory Technician,2,Married,15639,18385,4,Y,No,16,3,3,80,2,14,5,4,32,0,14,3
18,No,Travel_Frequently,1324,Research & Development,7,1,Human Resources,1,86,3,Female,98,4,4,Manufacturing Director,2,Divorced,5385,20317,4,Y,No,17,3,3,80,3,13,1,3,36,2,6,7
25,No,Travel_Frequently,1303,Research & Development,27,1,Life Sciences,1,87,4,Male,86,1,2,Healthcare Representative,1,Single,16203,2393,8,Y,No,18,4,1,80,2,29,0,3,0,1,2,4
41,No,Travel_Rarely,813,Sales,7,3,Marketing,1,88,1,Female,55,1,5,Human Resources,3,Single,4974,26881,7,Y,No,14,4,3,80,3,23,6,3,30,2,5,13
28,No,Travel_Rarely,1487,Sales,3,3,Marketing,1,89,2,Male,35,2,1,Human Resources,3,Divorced,6905,15457,7,Y,Yes,22,4,1,80,3,33,5,1,6,3,12,14
34,No,Non-Travel,578,Research & Development,12,2,Other,1,90,1,Male,45,4,5,Laboratory Technician,2,Married,5465,2529,4,Y,No,18,3,4,80,0,18,1,4,22,13,12,10
25,No,Non-Travel,664,Research & Development,7,1,Life Sciences,1,91,2,Female,89,3,4,Sales Representative,1,Single,7945,23007,7,Y,No,22,3,4,80,2,2,0,1,23,17,13,9
52,No,Travel_Rarely,570,Sales,17,3,Other,1,92,1,Female,41,2,4,Manager,2,Divorced,12058,14211,9,Y,Yes,11,4,2,80,0,3,3,3,13,4,14,9
52,No,Travel_Rarely,483,Sales,26,4,Other,1,93,2,Female,32,2,5,Manufacturing Director,2,Divorced,13636,22452,6,Y,No,16,3,1,80,1,10,6,1,22,14,9,5
50,No,Travel_Rarely,1025,Sales,1,4,Human Resources,1,94,2,Female,92,2,4,Healthcare Representative,4,Divorced,3302,25891,0,Y,Yes,16,3,4,80,2,12,4,1,8,15,0,15
22,No,Travel_Frequently,516,Human Resources,5,1,Other,1,95,3,Male,93,4,3,Research Scientist,2,Married,5966,8495,6,Y,Yes,13,3,1,80,1,17,4,4,7,7,14,3
59,No,Travel_Frequently,407,Human Resources,16,4,Other,1,96,1,Female,91,1,4,Sales Representative,3,Divorced,14447,8953,7,Y,No,19,3,3,80,2,18,1,4,7,7,13,8
56,Yes,Travel_Frequently,748,Sales,15,2,Human Resources,1,97,3,Female,35,3,5,Manufacturing Director,1,Divorced,19426,23437,2,Y,No,22,4,1,80,3,32,4,1,2,6,14,9
58,No,Travel_Rarely,1490,Research & Development,2,3,Marketing,1,98,3,Female,48,4,5,Research Scientist,1,Single,15162,21056,8,Y,No,22,4,2,80,1,37,0,2,31,5,7,4
45,Yes,Non-Travel,1124,Sales,9,3,Medical,1,99,1,Male,47,1,5,Manager,4,Divorced,17058,3713,7,Y,Yes,15,4,2,80,2,2,3,4,3,6,6,9
24,Yes,Travel_Rarely,1167,Human Resources,7,3,Technical Degree,1,100,2,Female,72,2,2,Research Scientist,4,Married,9714,22428,1,Y,No,11,4,4,80,2,34,1,2,37,0,11,15
26,No,Travel_Frequently,838,Research & Development,4,1,Other,1,101,3,Female,32,4,2,Research Scientist,3,Divorced,11899,2635,5,Y,Yes,17,3,3,80,1,0,2,4,1,12,8,10
25,No,Travel_Frequently,1221,Human Resources,20,4,Medical,1,102,1,Male,67,1,2,Sales Representative,4,Married,3998,23518,3,Y,No,20,4,3,80,0,34,5,3,8,6,14,5
29,Yes,Travel_Rarely,1388,Research & Development,18,2,Human Resources,1,103,2,Male,97,3,2,Sales Executive,2,Divorced,1909,17193,2,Y,Yes,24,4,1,80,2,35,6,2,0,0,13,6
51,No,Travel_Rarely,239,Human Resources,21,1,Medical,1,104,3,Male,73,3,2,Sales Representative,2,Divorced,13729,25003,5,Y,No,13,4,3,80,0,37,4,3,10,9,14,11
50,No,Travel_Frequently,1360,Research & Development,4,3,Technical Degree,1,105,3,Male,92,1,2,Healthcare Representative,3,Divorced,2880,16633,9,Y,No,20,4,2,80,0,38,4,3,28,12,2,12
40,No,Travel_Frequently,1073,Research & Development,28,2,Medical,1,106,3,Male,71,4,2,Sales Executive,1,Married,13497,11309,8,Y,Yes,20,4,4,80,0,24,1,1,25,3,11,16
41,No,Travel_Frequently,1116,Research & Development,13,3,Medical,1,107,2,Female,93,2,5,Manager,3,Single,19944,17778,1,Y,No,21,3,4,80,0,39,5,3,26,6,7,8
54,No,Travel_Rarely,1052,Research & Development,1,3,Medical,1,108,3,Male,83,1,1,Sales Representative,4,Married,8527,9445,9,Y,No,14,4,4,80,0,12,5,3,37,5,1,7
52,No,Travel_Frequently,1003,Human Resources,28,1,Medical,1,109,2,Male,66,2,2,Sales Executive,1,Single,6696,14415,9,Y,Yes,16,3,3,80,3,3,4,3,28,5,8,15
57,Yes,Travel_Frequently,171,Human Resources,24,3,Life Sciences,1,110,4,Male,33,3,5,Human Resources,1,Married,4072,16281,9,Y,No,18,3,3,80,0,5,4,3,32,10,0,2
39,No,Non-Travel,1313,Research & Development,3,2,Other,1,111,3,Male,31,1,1,Sales Representative,1,Divorced,13018,8602,4,Y,No,23,3,2,80,3,10,2,1,27,8,11,4
44,No,Travel_Rarely,1391,Research & Development,16,3,Human Resources,1,112,4,Male,73,3,2,Sales Executive,4,Divorced,5476,2037,5,Y,Yes,14,3,1,80,2,0,5,1,30,6,9,12
52,No,Non-Travel,1444,Human Resources,22,4,Technical Degree,1,113,1,Male,96,2,1,Laboratory Technician,2,Single,12067,11824,3,Y,No,22,3,1,80,3,7,0,3,18,8,6,15
18,No,Non-Travel,206,Research & Development,4,3,Human Resources,1,114,3,Male,97,2,1,Healthcare Representative,2,Single,5489,5775,6,Y,Yes,19,3,4,80,3,33,6,2,25,5,13,13
52,No,Travel_Frequently,1355,Research & Development,25,1,Life Sciences,1,115,1,Male,91,1,3,Manufacturing Director,4,Married,17219,22469,1,Y,No,18,4,4,80,0,39,1,4,28,13,9,10
54,No,Travel_Rarely,1165,Research & Development,23,2,Life Sciences,1,116,1,Female,30,1,4,Research Scientist,4,Married,15367,12555,6,Y,No,20,3,3,80,2,8,1,2,10,0,13,7
31,No,Travel_Frequently,982,Sales,25,1,Life Sciences,1,117,1,Female,46,1,3,Sales Executive,3,Single,7855,7120,1,Y,Yes,20,4,4,80,2,35,2,3,31,15,0,11
20,No,Travel_Rarely,238,Research & Development,16,4,Other,1,118,4,Female,45,3,1,Manufacturing Director,3,Single,4097,16678,0,Y,No,16,3,2,80,2,38,6,1,20,8,14,1
18,No,Non-Travel,714,Sales,26,3,Life Sciences,1,119,2,Male,38,2,5,Sales Representative,2,Married,12817,25128,4,Y,Yes,17,3,2,80,1,36,2,3,37,14,5,8
22,No,Travel_Rarely,962,Research & Development,19,1,Medical,1,120,4,Male,82,2,2,Manufacturing Director,4,Single,2084,19425,1,Y,Yes,18,3,4,80,3,20,0,3,33,9,0,8
43,No,Travel_Frequently,372,Human Resources,1,1,Human Resources,1,121,4,Male,88,3,4,Human Resources,3,Single,1552,6715,7,Y,No,12,4,4,80,0,19,3,1,39,15,12,13
31,Yes,Travel_Frequently,515,Sales,5,1,Marketing,1,122,1,Female,38,1,2,Research Director,4,Single,2153,3394,7,Y,Yes,15,3,4,80,1,37,1,2,21,2,3,14
56,No,Travel_Frequently,605,Sales,19,1,Technical Degree,1,123,3,Male,41,4,5,Research Director,4,Single,19629,4869,0,Y,No,23,3,4,80,0,0,5,4,26,12,6,10
44,No,Travel_Rarely,832,Research & Development,22,4,Life Sciences,1,124,2,Male,70,1,4,Healthcare Representative,2,Divorced,19070,5676,3,Y,Yes,17,4,4,80,1,34,6,3,7,13,1,12
26,No,Non-Travel,523,Research & Development,24,4,Human Resources,1,125,1,Male,44,4,3,Sales Executive,2,Divorced,18077,5721,8,Y,No,18,3,2,80,2,27,4,1,39,6,2,4
32,No,Non-Travel,489,Sales,11,3,Life Sciences,1,126,2,Female,95,4,1,Human Resources,4,Single,9689,7690,4,Y,No,15,3,1,80,1,6,6,4,30,1,3,5
32,No,Travel_Rarely,441,Human Resources,13,3,Other,1,127,4,Female,40,3,5,Research Scientist,1,Married,14483,7818,9,Y,Yes,13,3,2,80,2,8,0,4,0,13,5,4
43,No,Travel_Frequently,1045,Human Resources,20,2,Life Sciences,1,128,2,Male,37,2,1,Manager,1,Divorced,16034,2234,5,Y,No,16,4,2,80,1,0,1,4,38,16,12,0
59,No,Non-Travel,713,Research & Development,5,4,Life Sciences,1,129,2,Female,84,2,1,Healthcare Representative,4,Married,13159,5140,2,Y,No,15,3,4,80,0,35,5,1,33,12,11,7
30,No,Travel_Frequently,592,Human Resources,21,1,Life Sciences,1,130,3,Male,35,2,2,Research Director,2,Married,1805,10638,4,Y,No,18,3,1,80,0,33,0,3,23,1,8,16
49,No,Travel_Rarely,291,Human Resources,4,1,Life Sciences,1,131,1,Male,82,2,5,Laboratory Technician,1,Divorced,1920,14897,0,Y,Yes,19,4,4,80,1,33,3,1,27,4,3,10
56,No,Travel_Frequently,598,Research & Development,4,2,Technical Degree,1,132,2,Female,49,3,1,Manager,2,Married,14162,26583,7,Y,No,19,4,2,80,3,16,5,3,3,3,14,10
49,No,Non-Travel,921,Human Resources,4,1,Human Resources,1,133,2,Female,68,4,3,Manager,1,Married,2443,19383,5,Y,No,22,3,1,80,3,31,1,2,17,2,5,2
21,Yes,Non-Travel,1356,Research & Development,4,2,Other,1,134,4,Female,63,2,4,Laboratory Technician,4,Single,8048,19718,1,Y,Yes,22,3,3,80,1,1,6,4,28,13,11,7
47,Yes,Travel_Frequently,326,Sales,20,3,Life Sciences,1,135,4,Female,86,4,5,Sales Representative,3,Single,14707,10325,3,Y,No,16,3,4,80,3,35,4,3,22,10,6,7
54,No,Travel_Rarely,1494,Research & Development,21,4,Life Sciences,1,136,2,Male,48,3,2,Manufacturing Director,3,Single,18929,12624,3,Y,Yes,14,3,3,80,0,24,5,2,36,7,3,2
40,Yes,Travel_Frequently,238,Sales,18,2,Life Sciences,1,137,1,Male,60,1,5,Healthcare Representative,2,Divorced,2210,26631,8,Y,Yes,14,4,3,80,3,25,1,1,26,8,5,9
56,No,Travel_Rarely,955,Sales,18,1,Life Sciences,1,138,2,Female,69,3,2,Human Resources,2,Single,17004,23472,8,Y,No,19,4,3,80,1,25,0,4,15,15,2,13
32,No,Travel_Frequently,916,Human Resources,16,2,Medical,1,139,2,Female,43,2,4,Manager,1,Married,11272,23863,4,Y,Yes,14,4,3,80,3,20,3,3,26,2,4,2
46,No,Non-Travel,1272,Human Resources,9,3,Medical,1,140,3,Male,66,1,3,Manufacturing Director,4,Married,7212,8090,2,Y,No,18,3,1,80,1,17,5,4,8,9,11,13
